transcript,ticker,event_date,sentiment_label,sentiment_index
AAPL_2018_Q3_20180801,AAPL,2018-08-01,positive,0.8958122185619178
AAPL_2018_Q4_20181102,AAPL,2018-11-02,positive,0.8257250912202947
AAPL_2019_Q1_20190130,AAPL,2019-01-30,positive,0.7416641017092995
AAPL_2019_Q2_20190501,AAPL,2019-05-01,positive,0.8866893436733051
AAPL_2019_Q3_20190730,AAPL,2019-07-30,positive,0.9129891506337718
AAPL_2019_Q4_20191031,AAPL,2019-10-31,positive,0.9577741220900555
AAPL_2020_Q1_20200129,AAPL,2020-01-29,positive,0.8493090319685893
AAPL_2020_Q2_20200501,AAPL,2020-05-01,positive,0.7229295217582388
AAPL_2020_Q3_20200731,AAPL,2020-07-31,positive,0.7742822154987222
AAPL_2020_Q4_20201030,AAPL,2020-10-30,positive,0.8371142080974816
AAPL_2021_Q1_20210128,AAPL,2021-01-28,positive,0.812317287985035
AAPL_2021_Q2_20210429,AAPL,2021-04-29,positive,0.8605527342608612
AAPL_2021_Q3_20210728,AAPL,2021-07-28,positive,0.8210199400284461
AAPL_2021_Q4_20211028,AAPL,2021-10-28,positive,0.8147484157663297
AAPL_2022_Q1_20220127,AAPL,2022-01-27,positive,0.842743575554691
AAPL_2022_Q2_20220428,AAPL,2022-04-28,positive,0.7236248021110734
AAPL_2022_Q3_20220728,AAPL,2022-07-28,positive,0.5613873566454667
AAPL_2022_Q4_20221027,AAPL,2022-10-27,positive,0.8367969554008737
AAPL_2023_Q1_20230202,AAPL,2023-02-02,positive,0.6229577645525278
AAPL_2023_Q2_20230504,AAPL,2023-05-04,positive,0.7993230723805316
AAPL_2023_Q3_20230804,AAPL,2023-08-04,positive,0.8432026249885847
AAPL_2023_Q4_20231104,AAPL,2023-11-04,positive,0.7820751724955913
AAPL_2024_Q1_20240201,AAPL,2024-02-01,positive,0.7594941102609345
AAPL_2024_Q2_20240502,AAPL,2024-05-02,positive,0.7608310473537233
AAPL_2024_Q3_20240802,AAPL,2024-08-02,positive,0.8785314956689583
AAPL_2024_Q4_20241101,AAPL,2024-11-01,positive,0.9034585818310464
AAPL_2025_Q1_20250130,AAPL,2025-01-30,positive,0.884562515546037
AAPL_2025_Q2_20250501,AAPL,2025-05-01,positive,0.8188879153783095
COIN_2021_Q3_20211109,COIN,2021-11-09,positive,0.8127638242566608
COIN_2021_Q4_20220224,COIN,2022-02-24,positive,0.7259824218138303
COIN_2022_Q1_20220510,COIN,2022-05-10,positive,0.6522129369325891
COIN_2022_Q2_20220809,COIN,2022-08-09,positive,0.4785177616221799
COIN_2022_Q3_20221027,COIN,2022-10-27,positive,0.5967115529041074
COIN_2022_Q4_20230221,COIN,2023-02-21,positive,0.5712666083584567
COIN_2023_Q1_20230427,COIN,2023-04-27,positive,0.7854828335313971
COIN_2023_Q2_20230803,COIN,2023-08-03,positive,0.6503202371243184
COIN_2023_Q3_20231102,COIN,2023-11-02,positive,0.6244417222586672
COIN_2023_Q4_20240215,COIN,2024-02-15,positive,0.8369511600083911
COIN_2024_Q1_20240503,COIN,2024-05-03,positive,0.9178487345464726
COIN_2024_Q2_20240801,COIN,2024-08-01,positive,0.7198034312164838
COIN_2024_Q3_20241030,COIN,2024-10-30,positive,0.7143186151245157
COIN_2024_Q4_20250214,COIN,2025-02-14,positive,0.8619656865961208
MMM_2018_Q4_20190129,MMM,2019-01-29,positive,0.49983955286564236
MMM_2019_Q1_20190425,MMM,2019-04-25,positive,0.050242813974795165
MMM_2019_Q2_20190725,MMM,2019-07-25,positive,0.38936716048623
MMM_2019_Q4_20200128,MMM,2020-01-28,positive,0.5925381323307517
MMM_2020_Q1_20200428,MMM,2020-04-28,positive,0.4859365077399343
MMM_2020_Q2_20200728,MMM,2020-07-28,positive,0.44565210540786254
MMM_2020_Q3_20201027,MMM,2020-10-27,positive,0.37080535365471146
MMM_2020_Q4_20210126,MMM,2021-01-26,positive,0.7377645317441819
MMM_2021_Q1_20210427,MMM,2021-04-27,positive,0.63128151029935
MMM_2021_Q2_20210727,MMM,2021-07-27,positive,0.42452905603059377
MMM_2021_Q3_20211026,MMM,2021-10-26,positive,0.454824275635917
MMM_2021_Q4_20220125,MMM,2022-01-25,positive,0.5081363668543947
MMM_2022_Q1_20220426,MMM,2022-04-26,positive,0.3127449375604636
MMM_2022_Q2_20220726,MMM,2022-07-26,positive,0.47599905578895546
MMM_2022_Q3_20221025,MMM,2022-10-25,positive,0.4830683540812788
MMM_2022_Q4_20230124,MMM,2023-01-24,positive,0.18745122972342868
MMM_2023_Q1_20230425,MMM,2023-04-25,positive,0.22166218777789307
MMM_2023_Q2_20230725,MMM,2023-07-25,positive,0.27120563067098497
MMM_2023_Q3_20231024,MMM,2023-10-24,positive,0.45135187077532013
MMM_2023_Q4_20241023,MMM,2024-10-23,positive,0.504662854196191
MMM_2024_Q1_20240430,MMM,2024-04-30,positive,0.5792220608771075
MMM_2024_Q2_20240726,MMM,2024-07-26,positive,0.600565868129478
MMM_2024_Q3_20241022,MMM,2024-10-22,positive,0.752967639710361
MMM_2024_Q4_20250121,MMM,2025-01-21,positive,0.7636547885150309
MMM_2025_Q1_20250422,MMM,2025-04-22,positive,0.7190178062391172
NFLX_2018_Q4_20190117,NFLX,2019-01-17,positive,1.0
NFLX_2019_Q1_20190416,NFLX,2019-04-16,positive,1.0
NFLX_2019_Q2_20190717,NFLX,2019-07-17,positive,0.9487451011037098
NFLX_2019_Q3_20191016,NFLX,2019-10-16,positive,0.8482609754763494
NFLX_2019_Q4_20200121,NFLX,2020-01-21,positive,0.915356433317091
NFLX_2020_Q1_20200421,NFLX,2020-04-21,positive,0.7792243475786883
NFLX_2020_Q2_20200716,NFLX,2020-07-16,positive,0.8946688534963769
NFLX_2020_Q3_20201020,NFLX,2020-10-20,positive,0.8823278263749365
NFLX_2020_Q4_20210119,NFLX,2021-01-19,positive,0.912820114969804
NFLX_2021_Q1_20210420,NFLX,2021-04-20,positive,0.742924772408199
NFLX_2021_Q2_20210720,NFLX,2021-07-20,positive,0.8651319131355723
NFLX_2021_Q3_20211019,NFLX,2021-10-19,positive,0.9324807422036742
NFLX_2021_Q4_20220120,NFLX,2022-01-20,positive,0.7156151224132195
NFLX_2022_Q1_20220419,NFLX,2022-04-19,positive,0.8365402944427207
NFLX_2022_Q2_20220719,NFLX,2022-07-19,positive,0.8174555193736545
NFLX_2022_Q3_20221018,NFLX,2022-10-18,positive,0.955233655132944
NFLX_2022_Q4_20230119,NFLX,2023-01-19,positive,0.9666741957371113
NFLX_2023_Q1_20230418,NFLX,2023-04-18,positive,0.959185588943559
NFLX_2023_Q2_20230719,NFLX,2023-07-19,positive,0.9064375163037995
NFLX_2023_Q3_20231018,NFLX,2023-10-18,positive,0.9661353472789079
NFLX_2023_Q4_20240123,NFLX,2024-01-23,positive,1.0
NFLX_2024_Q1_20240418,NFLX,2024-04-18,positive,0.9297581654505689
NFLX_2024_Q2_20240718,NFLX,2024-07-18,positive,0.9660206158299345
NFLX_2024_Q3_20241017,NFLX,2024-10-17,positive,0.9295833081214894
NFLX_2024_Q4_20250121,NFLX,2025-01-21,positive,0.953391427615077
NFLX_2025_Q1_20250417,NFLX,2025-04-17,positive,1.0
NVDA_2019_Q3_20191114,NVDA,2019-11-14,positive,0.657169910710993
NVDA_2019_Q4_20190214,NVDA,2019-02-14,positive,0.4465216796840381
NVDA_2020_Q1_20190516,NVDA,2019-05-16,positive,0.5154580210940318
NVDA_2020_Q2_20190816,NVDA,2019-08-16,positive,0.7394972693468954
NVDA_2020_Q3_20191114,NVDA,2019-11-14,positive,0.657169910710993
NVDA_2020_Q4_20200213,NVDA,2020-02-13,positive,0.7735797991772332
NVDA_2021_Q1_20200521,NVDA,2020-05-21,positive,0.8607964721654903
NVDA_2021_Q2_20200819,NVDA,2020-08-19,positive,0.631706810959084
NVDA_2021_Q3_20201120,NVDA,2020-11-20,positive,0.7547428996534888
NVDA_2021_Q4_20210224,NVDA,2021-02-24,positive,0.9028236819104067
NVDA_2022_Q1_20210526,NVDA,2021-05-26,positive,0.9190129939840521
NVDA_2022_Q2_20210818,NVDA,2021-08-18,positive,0.8535131531024511
NVDA_2022_Q3_20211117,NVDA,2021-11-17,positive,0.6931685866281914
NVDA_2022_Q4_20220216,NVDA,2022-02-16,positive,0.9321832423881931
NVDA_2023_Q1_20220525,NVDA,2022-05-25,positive,0.6088535145640512
NVDA_2023_Q2_20220824,NVDA,2022-08-24,positive,0.14160277173242677
NVDA_2023_Q3_20221116,NVDA,2022-11-16,positive,0.4202206139909848
NVDA_2023_Q4_20230222,NVDA,2023-02-22,positive,0.7673854774108062
NVDA_2024_Q1_20230524,NVDA,2023-05-24,positive,0.754650481091953
NVDA_2024_Q2_20230822,NVDA,2023-08-22,positive,0.886572785439847
NVDA_2024_Q3_20231121,NVDA,2023-11-21,positive,0.8593539390957334
NVDA_2024_Q4_20240221,NVDA,2024-02-21,positive,0.9367695359963238
NVDA_2025_Q1_20240522,NVDA,2024-05-22,positive,0.7653784115365077
NVDA_2025_Q2_20240828,NVDA,2024-08-28,positive,0.8824305513619337
NVDA_2025_Q3_20241120,NVDA,2024-11-20,positive,0.8414251698971613
NVDA_2025_Q4_20250227,NVDA,2025-02-27,positive,0.8772457963915417
TSLA_2018_Q1_20180502,TSLA,2018-05-02,positive,0.3263080192365817
TSLA_2018_Q2_20180801,TSLA,2018-08-01,positive,0.6719596435837142
TSLA_2018_Q3_20181025,TSLA,2018-10-25,positive,0.729170290153869
TSLA_2018_Q4_20190130,TSLA,2019-01-30,positive,0.6816378750312831
TSLA_2019_Q1_20190424,TSLA,2019-04-24,positive,0.516122968643396
TSLA_2019_Q2_20190624,TSLA,2019-06-24,positive,0.5740441815145942
TSLA_2019_Q3_20191023,TSLA,2019-10-23,positive,0.7067295016563683
TSLA_2019_Q4_20200129,TSLA,2020-01-29,positive,0.6926415822866604
TSLA_2020_Q1_20200430,TSLA,2020-04-30,positive,0.7849689212919525
TSLA_2020_Q2_20200722,TSLA,2020-07-22,positive,0.5249323906558091
TSLA_2020_Q3_20211021,TSLA,2021-10-21,positive,0.6181355074696601
TSLA_2020_Q4_20220127,TSLA,2022-01-27,positive,0.7405960291273527
TSLA_2021_Q1_20210426,TSLA,2021-04-26,positive,0.3440987312253166
TSLA_2021_Q2_20210726,TSLA,2021-07-26,neutral,0.0
TSLA_2021_Q3_20211020,TSLA,2021-10-20,positive,0.42571472998167703
TSLA_2021_Q4_20220126,TSLA,2022-01-26,positive,0.4933567558740752
TSLA_2022_Q1_20220420,TSLA,2022-04-20,positive,0.4725890744669094
TSLA_2022_Q2_20220720,TSLA,2022-07-20,positive,0.28537908966061504
TSLA_2022_Q3_20221019,TSLA,2022-10-19,positive,0.4492665620303472
TSLA_2022_Q4_20230125,TSLA,2023-01-25,positive,0.48736506477290903
TSLA_2023_Q1_20230419,TSLA,2023-04-19,positive,0.5699711112352908
TSLA_2023_Q2_20230719,TSLA,2023-07-19,positive,0.6111309369245926
TSLA_2023_Q3_20231018,TSLA,2023-10-18,positive,0.2597550978058076
TSLA_2023_Q4_20240124,TSLA,2024-01-24,positive,0.6345027560162301
TSLA_2024_Q1_20240423,TSLA,2024-04-23,positive,0.8393326088420349
TSLA_2024_Q2_20240723,TSLA,2024-07-23,positive,0.613173660152232
TSLA_2024_Q3_20241023,TSLA,2024-10-23,positive,0.5751130029646939
TSLA_2024_Q4_20250129,TSLA,2025-01-29,positive,0.2073489897023805
